date,city,country,latitude,longitude,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,rain_mm,wind_max_kmh,humidity_pct
2025-01-01,New York,US,40.71,-74.01,10.9,3.9,7.4,4.5,4.5,23.2,81
2025-01-02,New York,US,40.71,-74.01,5.4,0.3,2.6,0.0,0.0,25.1,56
2025-01-03,New York,US,40.71,-74.01,3.2,-1.9,0.4,0.0,0.0,17.1,59
2025-01-04,New York,US,40.71,-74.01,-0.1,-2.7,-1.4,0.0,0.0,26.1,51
2025-01-05,New York,US,40.71,-74.01,0.3,-3.6,-2.2,0.0,0.0,19.9,52
2025-01-06,New York,US,40.71,-74.01,-1.5,-4.4,-2.3,1.7,0.0,16.7,74
2025-01-07,New York,US,40.71,-74.01,-3.0,-8.7,-5.2,0.0,0.0,29.9,62
2025-01-08,New York,US,40.71,-74.01,-2.5,-6.6,-4.3,0.0,0.0,25.4,49
2025-01-09,New York,US,40.71,-74.01,-1.5,-6.8,-4.2,0.0,0.0,29.0,53
2025-01-10,New York,US,40.71,-74.01,3.3,-3.8,-0.9,0.0,0.0,22.5,55
2025-01-11,New York,US,40.71,-74.01,0.4,-2.9,-1.2,2.0,0.0,17.3,72
2025-01-12,New York,US,40.71,-74.01,4.8,-1.9,0.6,0.0,0.0,14.9,66
2025-01-13,New York,US,40.71,-74.01,6.6,-1.9,1.3,0.0,0.0,18.3,64
2025-01-14,New York,US,40.71,-74.01,0.3,-3.7,-1.7,0.0,0.0,21.1,50
2025-01-15,New York,US,40.71,-74.01,-1.0,-5.7,-3.4,0.0,0.0,23.7,49
2025-01-16,New York,US,40.71,-74.01,-0.6,-5.9,-3.2,0.3,0.0,10.7,57
2025-01-17,New York,US,40.71,-74.01,5.0,-4.9,-0.7,0.0,0.0,10.8,66
2025-01-18,New York,US,40.71,-74.01,6.5,-0.9,2.8,2.1,2.1,14.9,80
2025-01-19,New York,US,40.71,-74.01,2.6,-2.0,0.7,8.8,0.3,18.3,90
2025-01-20,New York,US,40.71,-74.01,-2.6,-10.5,-7.1,0.2,0.0,16.3,65
2025-01-21,New York,US,40.71,-74.01,-8.4,-15.8,-11.4,0.4,0.0,10.0,62
2025-01-22,New York,US,40.71,-74.01,-8.1,-16.6,-11.8,0.0,0.0,11.0,54
2025-01-23,New York,US,40.71,-74.01,-3.5,-13.1,-8.6,0.0,0.0,8.3,53
2025-01-24,New York,US,40.71,-74.01,-1.0,-10.6,-6.3,0.0,0.0,10.7,65
2025-01-25,New York,US,40.71,-74.01,-2.0,-13.0,-7.0,0.0,0.0,11.6,68
2025-01-26,New York,US,40.71,-74.01,4.1,-5.6,-1.0,0.0,0.0,15.9,64
2025-01-27,New York,US,40.71,-74.01,2.0,-4.8,-1.3,0.0,0.0,17.7,59
2025-01-28,New York,US,40.71,-74.01,4.4,-3.0,0.7,0.0,0.0,23.3,53
2025-01-29,New York,US,40.71,-74.01,9.1,0.3,4.1,0.0,0.0,23.3,52
